Phrase_ID,Source_Record_ID,Source,Company,Country,Industry,Job_Function,Position,Seniority,Phrase,Word_Count
P_000026,JDRAW_00002,2021_10_09_01_12_Sales_dataFile,Humana Inc.,"Aberdeen, SD",Sales / Business Development,Sales and Business Development,Regional Sales Director,Director,"Participation in Career channel Regional, Market meetings as appropriate.",9
P_000027,JDRAW_00002,2021_10_09_01_12_Sales_dataFile,Humana Inc.,"Aberdeen, SD",Sales / Business Development,Sales and Business Development,Regional Sales Director,Director,"Utilization of appropriate CRM systems, and ensure utilization of appropriate CRM systems by the BRM's in their downline.",18
P_000028,JDRAW_00004,2021_10_09_17_03_Sales_dataFile,PAW BioScience (Now Avantor Fluid Handling),"Albuquerque, NM",Sales / Business Development,Sales and Business Development,Regional Sales Director,Director,"Job Summary Achieve growth and hit regional sales targets by successfully managing the sales team in the 4 corner states of Colorado, Arizona, Utah and New Mexico.",27
P_000029,JDRAW_00004,2021_10_09_17_03_Sales_dataFile,PAW BioScience (Now Avantor Fluid Handling),"Albuquerque, NM",Sales / Business Development,Sales and Business Development,Regional Sales Director,Director,Design and implement a strategic business plan that expands Avantor's customer base and ensure it's strong presence.,17
P_000030,JDRAW_00004,2021_10_09_17_03_Sales_dataFile,PAW BioScience (Now Avantor Fluid Handling),"Albuquerque, NM",Sales / Business Development,Sales and Business Development,Regional Sales Director,Director,Identify emerging markets and market shifts while being fully aware of new products and competition status.,16
P_000031,JDRAW_00004,2021_10_09_17_03_Sales_dataFile,PAW BioScience (Now Avantor Fluid Handling),"Albuquerque, NM",Sales / Business Development,Sales and Business Development,Regional Sales Director,Director,Establish sales objectives by forecasting and developing annual sales quotas for regions and territories,14
P_000032,JDRAW_00004,2021_10_09_17_03_Sales_dataFile,PAW BioScience (Now Avantor Fluid Handling),"Albuquerque, NM",Sales / Business Development,Sales and Business Development,Regional Sales Director,Director,project expected sales volume and profit for existing and new products.,11
P_000033,JDRAW_00004,2021_10_09_17_03_Sales_dataFile,PAW BioScience (Now Avantor Fluid Handling),"Albuquerque, NM",Sales / Business Development,Sales and Business Development,Regional Sales Director,Director,Achieve growth and hit regional sales targets by successfully managing the sales team.,13
P_000034,JDRAW_00004,2021_10_09_17_03_Sales_dataFile,PAW BioScience (Now Avantor Fluid Handling),"Albuquerque, NM",Sales / Business Development,Sales and Business Development,Regional Sales Director,Director,Identify emerging markets and market shifts while fully ware of new products and competitors status.,15
P_000035,JDRAW_00004,2021_10_09_17_03_Sales_dataFile,PAW BioScience (Now Avantor Fluid Handling),"Albuquerque, NM",Sales / Business Development,Sales and Business Development,Regional Sales Director,Director,Establish sales objectives by forecasting and developing annual sales quotas for regions and territories: project expected sales volume and profit for existing and new products.,25
P_000036,JDRAW_00004,2021_10_09_17_03_Sales_dataFile,PAW BioScience (Now Avantor Fluid Handling),"Albuquerque, NM",Sales / Business Development,Sales and Business Development,Regional Sales Director,Director,Disclaimer The above statements are intended to describe the general nature and level of work being performed by employees assigned to this classification.,23
P_000037,JDRAW_00004,2021_10_09_17_03_Sales_dataFile,PAW BioScience (Now Avantor Fluid Handling),"Albuquerque, NM",Sales / Business Development,Sales and Business Development,Regional Sales Director,Director,"They are not intended to be construed as an exhaustive list of all responsibilities, duties and skills required of employees assigned to this position.",24
P_000038,JDRAW_00004,2021_10_09_17_03_Sales_dataFile,PAW BioScience (Now Avantor Fluid Handling),"Albuquerque, NM",Sales / Business Development,Sales and Business Development,Regional Sales Director,Director,Avantor is proud to be an equal opportunity employer.,9
P_000039,JDRAW_00004,2021_10_09_17_03_Sales_dataFile,PAW BioScience (Now Avantor Fluid Handling),"Albuquerque, NM",Sales / Business Development,Sales and Business Development,Regional Sales Director,Director,EEO Statement We are an Equal Employment/Affirmative Action employer.,8
P_000040,JDRAW_00004,2021_10_09_17_03_Sales_dataFile,PAW BioScience (Now Avantor Fluid Handling),"Albuquerque, NM",Sales / Business Development,Sales and Business Development,Regional Sales Director,Director,"If you need a reasonable accommodation for any part of the employment process, please contact us by email at TalentManagement@avantorsciences.com and let us know the nature of your request and your contact information.",33
P_000041,JDRAW_00004,2021_10_09_17_03_Sales_dataFile,PAW BioScience (Now Avantor Fluid Handling),"Albuquerque, NM",Sales / Business Development,Sales and Business Development,Regional Sales Director,Director,Requests for accommodation will be considered on a case-by-case basis.,9
P_000042,JDRAW_00004,2021_10_09_17_03_Sales_dataFile,PAW BioScience (Now Avantor Fluid Handling),"Albuquerque, NM",Sales / Business Development,Sales and Business Development,Regional Sales Director,Director,Please note that only inquiries concerning a request for reasonable accommodation will be responded to from this email address.,19
P_000043,JDRAW_00004,2021_10_09_17_03_Sales_dataFile,PAW BioScience (Now Avantor Fluid Handling),"Albuquerque, NM",Sales / Business Development,Sales and Business Development,Regional Sales Director,Director,"For more information about equal employment opportunity protections, please view the Equal Employment Opportunity is THE LAW Poster, EEO is the Law Poster Supplement, and Pay Transparency Non-Discrimination Provision using the links below.",32
P_000044,JDRAW_00004,2021_10_09_17_03_Sales_dataFile,PAW BioScience (Now Avantor Fluid Handling),"Albuquerque, NM",Sales / Business Development,Sales and Business Development,Regional Sales Director,Director,Avantor works with a preferred supplier list and will take the initiative to engage with recruitment agencies based on its needs and will not be accepting any form of solicitation,30
P_000045,JDRAW_00006,2021_10_09_14_59_Sales_dataFile,Siemens,"Alpharetta, GA",Sales / Business Development,"Sales, Business Development, and Product Management",Service Sales Executive - Digital Enterprise Services,Mid-Senior level,Position Overview This position is responsible for driving sustainable growth in Siemens Digital Enterprise Services business through expanding service scopes in existing customer base and developing new service customer base.,30
P_000046,JDRAW_00006,2021_10_09_14_59_Sales_dataFile,Siemens,"Alpharetta, GA",Sales / Business Development,"Sales, Business Development, and Product Management",Service Sales Executive - Digital Enterprise Services,Mid-Senior level,"Geographic responsibility is the western United States based in Seattle, WA, or other suitable location within responsible geography.",18
P_000047,JDRAW_00006,2021_10_09_14_59_Sales_dataFile,Siemens,"Alpharetta, GA",Sales / Business Development,"Sales, Business Development, and Product Management",Service Sales Executive - Digital Enterprise Services,Mid-Senior level,Variable compensation (bonus) for this role is based on services order intake and services growth in targeted accounts.,18
P_000048,JDRAW_00006,2021_10_09_14_59_Sales_dataFile,Siemens,"Alpharetta, GA",Sales / Business Development,"Sales, Business Development, and Product Management",Service Sales Executive - Digital Enterprise Services,Mid-Senior level,Position drive services growth with existing service portfolio as well as incremental growth through emerging Digital Enterprise service portfolio.,19
P_000049,JDRAW_00006,2021_10_09_14_59_Sales_dataFile,Siemens,"Alpharetta, GA",Sales / Business Development,"Sales, Business Development, and Product Management",Service Sales Executive - Digital Enterprise Services,Mid-Senior level,Position also works closely with the Siemens Digital Industry Product and Project groups.,13
P_000050,JDRAW_00006,2021_10_09_14_59_Sales_dataFile,Siemens,"Alpharetta, GA",Sales / Business Development,"Sales, Business Development, and Product Management",Service Sales Executive - Digital Enterprise Services,Mid-Senior level,Execute a disciplined selling process to identify and pursue service opportunities.,11
P_000051,JDRAW_00006,2021_10_09_14_59_Sales_dataFile,Siemens,"Alpharetta, GA",Sales / Business Development,"Sales, Business Development, and Product Management",Service Sales Executive - Digital Enterprise Services,Mid-Senior level,"Achieve sales targets for vertical industries (Automotive, Food & Beverage, emerging verticals, etc.)",12
P_000052,JDRAW_00006,2021_10_09_14_59_Sales_dataFile,Siemens,"Alpharetta, GA",Sales / Business Development,"Sales, Business Development, and Product Management",Service Sales Executive - Digital Enterprise Services,Mid-Senior level,"Develop and maintain a sales funnel to support growth objectives by identifying, developing, and closing opportunities with end users.",19
P_000053,JDRAW_00006,2021_10_09_14_59_Sales_dataFile,Siemens,"Alpharetta, GA",Sales / Business Development,"Sales, Business Development, and Product Management",Service Sales Executive - Digital Enterprise Services,Mid-Senior level,Track and regularly report on opportunities and conversion progress.,9
P_000054,JDRAW_00006,2021_10_09_14_59_Sales_dataFile,Siemens,"Alpharetta, GA",Sales / Business Development,"Sales, Business Development, and Product Management",Service Sales Executive - Digital Enterprise Services,Mid-Senior level,Facilitate engagement and communication for opportunities that span geographies.,9
P_000055,JDRAW_00006,2021_10_09_14_59_Sales_dataFile,Siemens,"Alpharetta, GA",Sales / Business Development,"Sales, Business Development, and Product Management",Service Sales Executive - Digital Enterprise Services,Mid-Senior level,Drive services growth through maintaining established customer base and acquiring new customer base.,13
P_000056,JDRAW_00006,2021_10_09_14_59_Sales_dataFile,Siemens,"Alpharetta, GA",Sales / Business Development,"Sales, Business Development, and Product Management",Service Sales Executive - Digital Enterprise Services,Mid-Senior level,Understand relevant industry standards and customer applications.,7
P_000057,JDRAW_00006,2021_10_09_14_59_Sales_dataFile,Siemens,"Alpharetta, GA",Sales / Business Development,"Sales, Business Development, and Product Management",Service Sales Executive - Digital Enterprise Services,Mid-Senior level,Identify customer technical / commercial challenges and engage appropriate resources to bring issues to resolution.,14
P_000058,JDRAW_00006,2021_10_09_14_59_Sales_dataFile,Siemens,"Alpharetta, GA",Sales / Business Development,"Sales, Business Development, and Product Management",Service Sales Executive - Digital Enterprise Services,Mid-Senior level,Understand important industry trends and correlate trends to drive incremental service opportunity Coordinate with marketing groups to assist with industry messaging and collateral.,23
P_000059,JDRAW_00006,2021_10_09_14_59_Sales_dataFile,Siemens,"Alpharetta, GA",Sales / Business Development,"Sales, Business Development, and Product Management",Service Sales Executive - Digital Enterprise Services,Mid-Senior level,"Participate in professional organizations and support industry events Required Knowledge/Skills, Education, and Experience: Bachelor degree or 4 years equivalent experience.",19
P_000060,JDRAW_00006,2021_10_09_14_59_Sales_dataFile,Siemens,"Alpharetta, GA",Sales / Business Development,"Sales, Business Development, and Product Management",Service Sales Executive - Digital Enterprise Services,Mid-Senior level,"Seven plus years of digital transformation service sales, automation and drive services/ solutions sales and marketing experience.",16
P_000061,JDRAW_00006,2021_10_09_14_59_Sales_dataFile,Siemens,"Alpharetta, GA",Sales / Business Development,"Sales, Business Development, and Product Management",Service Sales Executive - Digital Enterprise Services,Mid-Senior level,"This position requires strong influence skills in a matrix environment The Physical location for this role is is Seattle, WA or any other location within the geography (western US/ e.g.",28
P_000062,JDRAW_00006,2021_10_09_14_59_Sales_dataFile,Siemens,"Alpharetta, GA",Sales / Business Development,"Sales, Business Development, and Product Management",Service Sales Executive - Digital Enterprise Services,Mid-Senior level,Los Angeles would be OK) This position requires employees to be fully vaccinated against COVID-19 unless they are granted a medical or religious exemption.,23
P_000063,JDRAW_00006,2021_10_09_14_59_Sales_dataFile,Siemens,"Alpharetta, GA",Sales / Business Development,"Sales, Business Development, and Product Management",Service Sales Executive - Digital Enterprise Services,Mid-Senior level,"Organization: Digital Industries Company: Siemens Industry, Inc.",7
P_000064,JDRAW_00006,2021_10_09_14_59_Sales_dataFile,Siemens,"Alpharetta, GA",Sales / Business Development,"Sales, Business Development, and Product Management",Service Sales Executive - Digital Enterprise Services,Mid-Senior level,Experience Level: Experienced Professional Job Type: Full-time Equal Employment Opportunity Statement Siemens is an Equal Opportunity and Affirmative Action Employer encouraging diversity in the workplace.,24
P_000065,JDRAW_00006,2021_10_09_14_59_Sales_dataFile,Siemens,"Alpharetta, GA",Sales / Business Development,"Sales, Business Development, and Product Management",Service Sales Executive - Digital Enterprise Services,Mid-Senior level,EEO is the Law Applicants and employees are protected under Federal law from discrimination.,14
P_000066,JDRAW_00006,2021_10_09_14_59_Sales_dataFile,Siemens,"Alpharetta, GA",Sales / Business Development,"Sales, Business Development, and Product Management",Service Sales Executive - Digital Enterprise Services,Mid-Senior level,"To learn more, Click here.",5
P_000067,JDRAW_00006,2021_10_09_14_59_Sales_dataFile,Siemens,"Alpharetta, GA",Sales / Business Development,"Sales, Business Development, and Product Management",Service Sales Executive - Digital Enterprise Services,Mid-Senior level,"Pay Transparency Non-Discrimination Provision Siemens follows Executive Order 11246, including the Pay Transparency Nondiscrimination Provision.",14
P_000068,JDRAW_00006,2021_10_09_14_59_Sales_dataFile,Siemens,"Alpharetta, GA",Sales / Business Development,"Sales, Business Development, and Product Management",Service Sales Executive - Digital Enterprise Services,Mid-Senior level,California Privacy Notice California residents have the right to receive additional notices about their personal information.,16
P_000069,JDRAW_00006,2021_10_09_14_59_Sales_dataFile,Siemens,"Alpharetta, GA",Sales / Business Development,"Sales, Business Development, and Product Management",Service Sales Executive - Digital Enterprise Services,Mid-Senior level,"To learn more, click here.",5
P_000070,JDRAW_00006,2021_10_09_14_59_Sales_dataFile,Siemens,"Alpharetta, GA",Sales / Business Development,"Sales, Business Development, and Product Management",Service Sales Executive - Digital Enterprise Services,Mid-Senior level,Equal Employment Opportunity Statement Siemens is an Equal Opportunity and Affirmative Action Employer encouraging diversity in the workplace.,18
P_000071,JDRAW_00007,2021_10_09_09_30_Sales_dataFile,FundMerica,"Anaheim, CA",Sales / Business Development,Sales and Business Development,Account/Sales Reps,Entry level,"Job Description: We are for sales reps, professional and motivated individuals looking for a great place to find a real opportunity.",21
P_000072,JDRAW_00007,2021_10_09_09_30_Sales_dataFile,FundMerica,"Anaheim, CA",Sales / Business Development,Sales and Business Development,Account/Sales Reps,Entry level,"As a new team member, you will start out handling our current client lead database through follow up calls, emails and will also be calling out on targeted data lists with some warm lead calling.",35
P_000073,JDRAW_00007,2021_10_09_09_30_Sales_dataFile,FundMerica,"Anaheim, CA",Sales / Business Development,Sales and Business Development,Account/Sales Reps,Entry level,Previous experience in business loans or commercial lending is a plus.,11
P_000074,JDRAW_00007,2021_10_09_09_30_Sales_dataFile,FundMerica,"Anaheim, CA",Sales / Business Development,Sales and Business Development,Account/Sales Reps,Entry level,"SBA, Equipment Leasing, mortgages, home loans, MCA or Merchant Cash Advance very helpful.",13
P_000075,JDRAW_00007,2021_10_09_09_30_Sales_dataFile,FundMerica,"Anaheim, CA",Sales / Business Development,Sales and Business Development,Account/Sales Reps,Entry level,Health benefits after 90 days.,5
P_000076,JDRAW_00007,2021_10_09_09_30_Sales_dataFile,FundMerica,"Anaheim, CA",Sales / Business Development,Sales and Business Development,Account/Sales Reps,Entry level,This company handles small business consulting nationwide so 100% of work is phone based.,14
P_000077,JDRAW_00007,2021_10_09_09_30_Sales_dataFile,FundMerica,"Anaheim, CA",Sales / Business Development,Sales and Business Development,Account/Sales Reps,Entry level,"The ideal person for this accounts manager is someone who is mature, can work independently and is looking for professional growth opportunities.",22
P_000078,JDRAW_00007,2021_10_09_09_30_Sales_dataFile,FundMerica,"Anaheim, CA",Sales / Business Development,Sales and Business Development,Account/Sales Reps,Entry level,Excellent written and oral communication.,5
P_000079,JDRAW_00007,2021_10_09_09_30_Sales_dataFile,FundMerica,"Anaheim, CA",Sales / Business Development,Sales and Business Development,Account/Sales Reps,Entry level,"typing proficiency, MS Office Suite, Adobe Acrobat, ability to manage multiple browser tabs at a given time, navigating Windows 10.",20
P_000080,JDRAW_00007,2021_10_09_09_30_Sales_dataFile,FundMerica,"Anaheim, CA",Sales / Business Development,Sales and Business Development,Account/Sales Reps,Entry level,Prior utilization and understanding of CRM systems.,7
P_000081,JDRAW_00007,2021_10_09_09_30_Sales_dataFile,FundMerica,"Anaheim, CA",Sales / Business Development,Sales and Business Development,Account/Sales Reps,Entry level,Ability to multi-task and manage a pipeline at various stages of sales process and development.,14
P_000082,JDRAW_00007,2021_10_09_09_30_Sales_dataFile,FundMerica,"Anaheim, CA",Sales / Business Development,Sales and Business Development,Account/Sales Reps,Entry level,Ability to meet required performance metrics and manage time effectively with little to no supervision.,15
P_000083,JDRAW_00009,2021_10_09_09_30_Sales_dataFile,Blink Printing,"Apopka, FL",Sales / Business Development,Sales and Business Development,Sales Representative,Entry level,We are seeking a Sales Representative to join our team!,10
P_000084,JDRAW_00009,2021_10_09_09_30_Sales_dataFile,Blink Printing,"Apopka, FL",Sales / Business Development,Sales and Business Development,Sales Representative,Entry level,You will resolve customer questions and offer solutions to drive company revenue.,12
P_000085,JDRAW_00010,2021_10_09_14_59_Sales_dataFile,Charlton Morris,"Arizona, United States",Sales / Business Development,Sales and Business Development,Regional Sales Manager,Mid-Senior level,This is an exciting role to work with a people first company.,12
P_000086,JDRAW_00010,2021_10_09_14_59_Sales_dataFile,Charlton Morris,"Arizona, United States",Sales / Business Development,Sales and Business Development,Regional Sales Manager,Mid-Senior level,An autonomous Sales Leader to help drive business development into new regions implementing their strategies in line with company targets.,20
P_000087,JDRAW_00010,2021_10_09_14_59_Sales_dataFile,Charlton Morris,"Arizona, United States",Sales / Business Development,Sales and Business Development,Regional Sales Manager,Mid-Senior level,"Responsibilities Answer customer technical questions about products, prices, availability, and product uses.",12
P_000088,JDRAW_00010,2021_10_09_14_59_Sales_dataFile,Charlton Morris,"Arizona, United States",Sales / Business Development,Sales and Business Development,Regional Sales Manager,Mid-Senior level,Provide product information and practical training to customer personnel.,9
P_000089,JDRAW_00010,2021_10_09_14_59_Sales_dataFile,Charlton Morris,"Arizona, United States",Sales / Business Development,Sales and Business Development,Regional Sales Manager,Mid-Senior level,"Prepare sales quotes and technical support, processing credits and pick-up requests.",10
P_000090,JDRAW_00010,2021_10_09_14_59_Sales_dataFile,Charlton Morris,"Arizona, United States",Sales / Business Development,Sales and Business Development,Regional Sales Manager,Mid-Senior level,Assist with planning and scheduling orders received to ensure timely delivery goals are met.,14
P_000091,JDRAW_00010,2021_10_09_14_59_Sales_dataFile,Charlton Morris,"Arizona, United States",Sales / Business Development,Sales and Business Development,Regional Sales Manager,Mid-Senior level,"Travel to visit existing and potential customer locations, conventions, company meetings, training etc.",13
P_000092,JDRAW_00010,2021_10_09_14_59_Sales_dataFile,Charlton Morris,"Arizona, United States",Sales / Business Development,Sales and Business Development,Regional Sales Manager,Mid-Senior level,Travel will involve use of personal vehicle and occasional airline travel.,11
P_000093,JDRAW_00010,2021_10_09_14_59_Sales_dataFile,Charlton Morris,"Arizona, United States",Sales / Business Development,Sales and Business Development,Regional Sales Manager,Mid-Senior level,"Review and analyse daily and weekly reports for special order requests, customer bid files, and sales/profit margin data.",17
P_000094,JDRAW_00010,2021_10_09_14_59_Sales_dataFile,Charlton Morris,"Arizona, United States",Sales / Business Development,Sales and Business Development,Regional Sales Manager,Mid-Senior level,"Prepare sales budgets and reports, maintain sales records, reporting of results, opportunities and needs to ensure the success within the region",21
P_000095,JDRAW_00011,2021_10_09_14_59_Sales_dataFile,Michael Page,"Arizona, United States",Sales / Business Development,Sales and Business Development,Regional Sales Manager,Mid-Senior level,"MPI encourages applications from minorities, women, the disabled, protected veterans and all other qualified applicants.",15
P_000096,JDRAW_00011,2021_10_09_14_59_Sales_dataFile,Michael Page,"Arizona, United States",Sales / Business Development,Sales and Business Development,Regional Sales Manager,Mid-Senior level,"Description Previous working Experience in the flooring industry (minimum 3 years' experience), ideally in a retail level",17
P_000097,JDRAW_00011,2021_10_09_14_59_Sales_dataFile,Michael Page,"Arizona, United States",Sales / Business Development,Sales and Business Development,Regional Sales Manager,Mid-Senior level,"Develop and maintain long-term trusting relationships with retailers, real estate developers and project customers",13
P_000098,JDRAW_00011,2021_10_09_14_59_Sales_dataFile,Michael Page,"Arizona, United States",Sales / Business Development,Sales and Business Development,Regional Sales Manager,Mid-Senior level,"Ability to sell added value products, highlighting the unique comfort and sustainability credentials of the product",16
P_000099,JDRAW_00011,2021_10_09_14_59_Sales_dataFile,Michael Page,"Arizona, United States",Sales / Business Development,Sales and Business Development,Regional Sales Manager,Mid-Senior level,"Ability to suggest solutions that answer client's needs, in terms of customer portfolio and merchandising",15
P_000100,JDRAW_00011,2021_10_09_14_59_Sales_dataFile,Michael Page,"Arizona, United States",Sales / Business Development,Sales and Business Development,Regional Sales Manager,Mid-Senior level,Handle and resolve customers' complaints in an effective way,9
P_000101,JDRAW_00011,2021_10_09_14_59_Sales_dataFile,Michael Page,"Arizona, United States",Sales / Business Development,Sales and Business Development,Regional Sales Manager,Mid-Senior level,Create reports for upper management on CRM,7
P_000102,JDRAW_00011,2021_10_09_14_59_Sales_dataFile,Michael Page,"Arizona, United States",Sales / Business Development,Sales and Business Development,Regional Sales Manager,Mid-Senior level,"Willing to work with a fast paced and innovative company, in a multinational environment, having profitability targets in mind",19
P_000103,JDRAW_00011,2021_10_09_14_59_Sales_dataFile,Michael Page,"Arizona, United States",Sales / Business Development,Sales and Business Development,Regional Sales Manager,Mid-Senior level,"Analytical, goal oriented and interested in Decoration /Building materials area",9
P_000104,JDRAW_00011,2021_10_09_14_59_Sales_dataFile,Michael Page,"Arizona, United States",Sales / Business Development,Sales and Business Development,Regional Sales Manager,Mid-Senior level,Ability to travel in the territory without restrictions.,8
P_000105,JDRAW_00011,2021_10_09_14_59_Sales_dataFile,Michael Page,"Arizona, United States",Sales / Business Development,Sales and Business Development,Regional Sales Manager,Mid-Senior level,"The Successful Applicant Proven work experience as a Regional Sales Manager, Area Manager or similar senior sales role",18
P_000106,JDRAW_00011,2021_10_09_14_59_Sales_dataFile,Michael Page,"Arizona, United States",Sales / Business Development,Sales and Business Development,Regional Sales Manager,Mid-Senior level,Ability to measure and analyze key performance indicators (ROI and KPIs),11
P_000107,JDRAW_00011,2021_10_09_14_59_Sales_dataFile,Michael Page,"Arizona, United States",Sales / Business Development,Sales and Business Development,Regional Sales Manager,Mid-Senior level,Strong organizational skills with a problem-solving attitude,6
P_000108,JDRAW_00011,2021_10_09_14_59_Sales_dataFile,Michael Page,"Arizona, United States",Sales / Business Development,Sales and Business Development,Regional Sales Manager,Mid-Senior level,Availability to travel as needed.,5
